,rewards,actions
0,[0],0
1,[0],3
2,[0],0
3,[-2.2],2
4,[0],1
5,[-2.2000000000000455],3
6,[-0.89995117],2
7,[-0.8999511718750455],3
8,[-0.60002441],1
9,[0],0
10,[0],0
11,[0],2
12,[0],1
13,[0],2
14,[0],0
15,[0],0
16,[0],1
17,[0],1
18,[0],1
19,[0],2
20,[0],0
21,[0],0
22,[0],0
23,[0],0
24,[0],2
25,[0],1
26,[-0.6000244140625455],3
27,[0],0
28,[0],0
29,[-0.60002441],1
30,[0],0
31,[0],0
32,[0],0
33,[0],2
34,[0],0
35,[0],0
36,[-0.6000244140625455],3
37,[-1.2],1
38,[0],1
39,[-1.2000000000000455],3
40,[-1.39995117],1
41,[0],0
42,[0],0
43,[0],0
44,[0],0
45,[-1.3999511718750455],3
46,[0],3
47,[-1.2],1
48,[0],1
49,[-1.2000000000000455],3
50,[-1.39995117],1
51,[0],2
52,[-1.3999511718750455],3
53,[0],0
54,[0],0
55,[0],0
56,[0],3
57,[-0.50004883],1
58,[0],0
59,[0],1
60,[0],1
61,[0],0
62,[-0.5000488281250455],3
63,[-1.39995117],2
64,[-1.3999511718750455],3
65,[-1.50004883],1
66,[0],2
67,[0],0
68,[0],0
69,[0],1
70,[0],1
71,[0],2
72,[0],2
73,[0],2
74,[-1.5000488281250455],3
75,[0],3
76,[0],0
77,[0],0
78,[0],3
79,[0],0
80,[-1.2],2
81,[0],0
82,[0],2
83,[-1.2000000000000455],3
84,[0],0
85,[0.99995117],2
86,[0],0
87,[0],0
88,[0],0
89,[0],1
90,[0],1
91,[0],2
92,[0],1
93,[0],2
94,[0],0
95,[0],2
96,[0],1
97,[0],0
98,[0],1
99,[0.9999511718749545],3
100,[0],0
101,[0],3
102,[-1.39995117],1
103,[0],1
104,[0],2
105,[-1.3999511718750455],3
106,[0],3
107,[0],0
108,[-2.2],2
109,[0],2
110,[0],1
111,[0],1
112,[-2.2000000000000455],3
113,[0],3
114,[0],3
115,[0],0
116,[1.8],2
117,[0],0
118,[0],1
119,[0],2
120,[0],2
121,[0],1
122,[0],2
123,[0],2
124,[1.7999999999999545],3
125,[0],0
126,[0],3
127,[-2.00004883],2
128,[0],1
129,[0],1
130,[0],1
131,[0],0
132,[0],1
133,[-2.0000488281250455],3
134,[0],0
135,[0],0
136,[0],3
137,[-2.2],1
138,[0],1
139,[0],2
140,[-2.2000000000000455],3
141,[0],3
142,[0],0
143,[0],3
144,[0],0
145,[-1.2],2
146,[-1.2000000000000455],3
147,[0],3
148,[0],0
149,[-1.39995117],1
150,[0],1
151,[-1.3999511718750455],3
152,[0],0
153,[1.8],2
154,[0],0
155,[0],1
156,[1.7999999999999545],3
157,[1.10004883],1
158,[0],2
159,[1.1000488281249545],3
160,[0],3
161,[-3.39995117],1
162,[0],2
163,[0],2
164,[0],2
165,[0],1
166,[0],1
167,[-3.3999511718750455],3
168,[-0.39995117],1
169,[0],1
170,[0],1
171,[0],0
172,[-0.3999511718750455],3
173,[0],0
174,[0],0
175,[-1.2],2
176,[0],2
177,[0],0
178,[0],1
179,[-1.2000000000000455],3
180,[0.49995117],2
181,[0],2
182,[0.4999511718749545],3
183,[-3.00004883],2
184,[0],1
185,[0],1
186,[0],0
187,[-3.0000488281250455],3
188,[-2.2],1
189,[0],1
190,[0],0
191,[0],2
192,[0],2
193,[0],1
194,[0],0
195,[0],0
196,[-2.2000000000000455],3
197,[0],0
198,[0],3
199,[0.],1
200,[0],0
201,[0],1
202,[0],1
203,[0],3
